EmployeeNumber,LastName,FirstName,SSS,PhilHealth,TIN,PagIBIG,Email,Position,Status,Address,Phone
10035,Bactong,Colin,12-3467899-6,123456789012,123-456-789-000,123456789012,Colin@MotorPH.com,Developer,regular,"Blk 4 Lot 7 Phase 1 Centerville Subd. , Brgy 5, Silay City, Negros Occidental",961-123-478
10036,Bactong,Charlize,98-7654321-4,210987654321,987-654-321-000,210987654321,Charlize@MotorPH.com,Developer,regular,"Blk 4 Lot 7 Phase 1 Centerville Subd. , Brgy 5, Silay City, Negros Occidental",992-555-471
10037,Calipayan,Angelica,12-3456789-9,123456789312,123-456-984-000,123456789212,Angelica@MotorPH.com,Developer,regular,"Blk 4 Lot 7 Phase 1 Centerville Subd. , Brgy 5, Silay City, Negros Occidental",985-245-487
10038,Crane,Yzabelle,12-5648126-9,854112497884,154-567-445-000,748542211444,Yzabelle@motorph.com,Developer,regular,"Blk 4 Lot 7 Phase 1 Centerville Subd. , Brgy 5, Silay City, Negros Occidental",919-854-479
10001,Garcia,Manuel III,44-4506057-3,820126853951,442-605-657-000,691295330870,MGarcia@motorph.com,Chief Executive Officer,regular,"Valero Carpark Building Valero Street 1227, Makati City",966-860-270
10002,Lim,Antonio,52-2061274-9,331735646338,683-102-776-000,663904995411,ALim@motorph.com,Chief Operating Officer,regular,"San Antonio De Padua 2, Block 1 Lot 8 and 2, Dasmarinas, Cavite",171-867-411
10003,Aquino,Bianca Sofia,30-8870406-2,177451189665,971-711-280-000,171519773969,BAquino@motorph.com,Chief Finance Officer,regular,"Rm. 402 4/F Jiao Building Timog Avenue Cor. Quezon Avenue 1100, Quezon City",966-889-370
10004,Reyes,Isabella,40-2511815-0,341911411254,876-809-437-000,416946776041,IReyes@motorph.com,Chief Marketing Officer,regular,"460 Solanda Street Intramuros 1000, Manila",786-868-477
10005,Hernandez,Eduard,50-5577638-1,957436191812,031-702-374-000,952347222457,EHernandez@motorph.com,IT Operations and Systems,regular,"National Highway, Gingoog,  Misamis Occidental",088-861-012
10006,Villanueva,Andrea Mae,49-1632020-8,382189453145,317-674-022-000,441093369646,AVillanueva@motorph.com,HR Manager,regular,"17/85 Stracke Via Suite 042, Poblacion, Las Piñas 4783 Dinagat Islands",918-621-603
10007,San Jose,Brad,40-2400714-1,239192926939,672-474-690-000,210850209964,BSanjose@motorph.com,HR Team Leader,regular,"99 Strosin Hills, Poblacion, Bislig 5340 Tawi-Tawi",797-009-261
10008,Romualdez,Alice,55-4476527-2,545652640232,888-572-294-000,211385556888,ARomualdez@motorph.com,HR Rank and File,regular,"12A/33 Upton Isle Apt. 420, Roxas City 1814 Surigao del Norte",983-606-799
10009,Atienza,Rosie,41-0644692-3,708988234853,604-997-793-000,260107732354,RAtienza@motorph.com,HR Rank and File,regular,"90A Dibbert Terrace Apt. 190, San Lorenzo 6056 Davao del Norte",266-036-427
10010,Alvaro,Roderick,64-7605054-4,578114853194,525-420-419-000,799254095212,RAlvaro@motorph.com,Accounting Head,regular,"#284 T. Morato corner, Scout Rallos Street, Quezon City",053-381-386
10011,Salcedo,Anthony,26-9647608-2,126445315651,210-805-911-000,218002473454,ASalcedo@motorph.com,Payroll Manager,regular,"93/54 Shanahan Alley Apt. 183, Santo Tomas 1572 Masbate",070-766-300
10012,Lopez,Josie,44-8563448-3,431709011012,218-489-737-000,113071293354,JLopez@motorph.com,Payroll Team Leader,regular,"49 Springs Apt. 266, Poblacion, Taguig 3200 Occidental Mindoro",478-355-427
10013,Farala,Martha,45-5656375-0,233693897247,210-835-851-000,631130283546,MFarala@motorph.com,Payroll Rank and File,regular,"42/25 Sawayn Stream, Ubay 1208 Zamboanga del Norte",329-034-366
10014,Martinez,Leila,27-2090996-4,515741057496,275-792-513-000,101205445886,LMartinez@motorph.com,Payroll Rank and File,regular,"37/46 Kulas Roads, Maragondon 0962 Quirino",877-110-749
10015,Romualdez,Fredrick,26-8768374-1,308366860059,598-065-761-000,223057707853,FRomualdez@motorph.com,Account Manager,regular,"22A/52 Lubowitz Meadows, Pililla 4895 Zambales",023-079-009
10016,Mata,Christian,49-2959312-6,824187961962,103-100-522-000,631052853464,CMata@motorph.com,Account Team Leader,regular,"90 O'Keefe Spur Apt. 379, Catigbian 2772 Sulu",783-776-744
10017,De Leon,Selena,27-2090208-8,587272469938,482-259-498-000,719007608464,SDeleon@motorph.com,Account Team Leader,regular,"89A Armstrong Trace, Compostela 7874 Maguindanao",975-432-139
10018,San Jose,Allison,45-3251383-0,745148459521,121-203-336-000,114901859343,ASanjose@motorph.com,Account Rank and File,regular,"08 Grant Drive Suite 406, Poblacion, Iloilo City 9186 La Union",179-075-129
10019,Rosario,Cydney,49-1629900-2,579253435499,122-244-511-000,265104358643,CRosario@motorph.com,Account Rank and File,regular,"93A/21 Berge Points, Tapaz 2180 Quezon",868-819-912
10020,Bautista,Mark,49-1647342-5,399665157135,273-970-941-000,260054585575,MBautista@motorph.com,Account Rank and File,regular,"65 Murphy Center Suite 094, Poblacion, Palayan 5636 Quirino",683-725-348
